### Answer of Query 1 ###
70 | Carlson,Suarez | green | male
70 | Carpenter,Staci | brown | female
70 | Chambers,Britt | green | male
70 | Chavez,Nadine | brown | female
70 | Cross,Holland | green | male
70 | Fisher,Marianne | green | female
70 | Goff,Levy | green | male
70 | Gregory,Wise | brown | male
70 | Huber,Olga | green | female
70 | Hurst,Osborn | blue | male
70 | Kennedy,Christa | blue | female
70 | Kinney,Michael | blue | male
70 | Lopez,Sophie | blue | female
70 | Lott,Meadows | blue | male
70 | Pierce,Hendricks | green | male
70 | Poole,Park | blue | male
70 | Powers,Davenport | brown | male
70 | Preston,Beck | brown | male
70 | Roy,Gallagher | brown | male
70 | Tyson,Gayle | brown | female
70 | Vincent,Foster | green | male
70 | Watts,Mcclain | green | male
70 | Wells,Goodwin | brown | male
69 | Alvarez,Gwendolyn | green | female
69 | Barrera,Mejia | green | male
69 | Boyer,Barbara | brown | female
69 | Boyle,Juana | brown | female
69 | Bradford,Essie | brown | female
69 | Buck,Marcy | green | female
69 | Carter,Koch | green | male
69 | Christian,Martinez | brown | male
69 | Clemons,Juliette | green | female
69 | Finch,Whitaker | green | male
69 | Frye,Marla | brown | female
69 | Lowery,Bonnie | green | female
69 | Mack,Maritza | blue | female
69 | Maldonado,Harriet | green | female
69 | Mcintyre,Mercado | green | male
69 | Page,Imogene | brown | female
69 | Perry,Suzette | green | female
69 | Wilkinson,Lola | blue | female
68 | Collier,Tonia | blue | female
68 | Green,Douglas | brown | male
68 | Hopkins,Sonja | blue | female
68 | Levy,Nadia | green | female
68 | Murray,Mallory | brown | female
68 | Pitts,Stephenson | green | male
68 | Rasmussen,Tina | brown | female
68 | Romero,Meyers | brown | male
68 | Soto,Morrow | green | male
68 | Zimmerman,Laura | green | female
67 | Coffey,Deleon | green | male
67 | Gentry,Russell | blue | male
67 | Kinney,Rush | green | male
67 | Poole,Park | brown | male
67 | Skinner,Myra | brown | female
67 | Vaughn,Leticia | green | female
67 | Watkins,Blankenship | brown | male
66 | Allen,Karen | blue | female
66 | Bishop,Deann | blue | female
66 | Branch,Nona | brown | female
66 | Chavez,Avila | blue | male
66 | Elliott,Mari | green | female
66 | Foley,Corina | brown | female
66 | Jackson,Mia | green | female
66 | Macdonald,Curtis | green | male
66 | Mcclure,Cox | brown | male
66 | Sparks,Hunt | brown | male
66 | Stafford,Cain | brown | male
66 | Vaughn,Robbins | green | male
66 | Welch,Ina | blue | female
65 | Alvarez,Terrie | brown | female
65 | Ashley,Petra | brown | female
65 | Bean,Jill | green | female
65 | Berg,Sullivan | green | male
65 | Cain,Dillon | brown | male
65 | Cote,Mccormick | brown | male
65 | Cotton,Bennett | blue | male
65 | Deleon,Lucinda | brown | female
65 | Dorsey,Whitfield | blue | male
65 | Hall,Meadows | blue | male
65 | Harmon,Jaclyn | brown | female
65 | Hodges,Gilda | green | female
65 | Kirkland,Bowen | brown | male
65 | Maynard,Loraine | green | female
65 | Mcmillan,Burris | brown | male
65 | Nichols,Dena | blue | female
65 | Rios,Hopper | green | male
65 | Schneider,Herrera | green | male
65 | Torres,Watkins | brown | male
65 | Zimmerman,Gale | brown | female
64 | Cantrell,Mcfadden | blue | male
64 | Cantu,Rivas | brown | male
64 | Carrillo,Cara | green | female
64 | Combs,Harvey | green | male
64 | Douglas,Deana | blue | female
64 | Franco,Trevino | green | male
64 | Gates,Olivia | blue | female
64 | Glover,Josefina | brown | female
64 | Levy,Lillian | blue | female
64 | Mcguire,Ann | blue | female
64 | Moss,Kidd | green | male
64 | Mullen,Potter | green | male
64 | Norton,Larson | green | male
64 | Stewart,Robin | brown | female
64 | Wilcox,Stout | brown | male
64 | Witt,Marshall | blue | male
63 | Brock,Burke | brown | male
63 | Coleman,Hudson | green | male
63 | Dickerson,Kara | brown | female
63 | Durham,Laurie | brown | female
63 | Fowler,Turner | green | male
63 | Gates,Lawson | brown | male
63 | Harmon,Guerrero | blue | male
63 | Leach,Daphne | brown | female
63 | Middleton,Charlotte | green | female
63 | Robinson,Bennett | green | male
63 | Rush,Alston | brown | male
63 | Sargent,Cash | blue | male
63 | Sheppard,Soto | green | male
63 | Valencia,Robert | green | female
63 | Watts,Beatriz | blue | female
62 | Blake,Lois | green | female
62 | Flowers,Buckner | green | male
62 | Hinton,Bartlett | blue | male
62 | Love,Estelle | brown | female
62 | Mcfarland,Collier | blue | male
62 | Mcpherson,Gertrude | blue | female
62 | Moore,Collier | brown | male
62 | Rios,Glenn | brown | male
62 | Rivas,Salinas | brown | male
62 | Sykes,Neva | brown | female
62 | Underwood,Colon | green | male
62 | Villarreal,Collins | blue | male
62 | Wells,Baker | brown | male
62 | Whitehead,Acosta | blue | male
62 | Wiley,Kerr | blue | male
61 | Becker,Blackburn | blue | male
61 | Eaton,Campbell | brown | male
61 | Hutchinson,Carmen | blue | female
61 | Maynard,Felicia | brown | female
60 | Cantu,Ola | green | female
60 | Chan,Michelle | green | female
60 | Flynn,Rosa | green | male
60 | Gilbert,Mai | brown | female
60 | Gomez,Alissa | green | female
60 | Kaufman,Dawson | brown | male
60 | Larsen,Reese | green | male
60 | Mayo,Patrica | green | female
60 | Meyer,Della | green | female
60 | Nunez,Salazar | green | male
60 | Rogers,Debora | brown | female
60 | Sharp,Pat | green | female
60 | Willis,Santiago | green | male
59 | Andrews,Fuentes | brown | male
59 | Beard,Allen | brown | male
59 | Bennett,Robles | blue | male
59 | Bowers,Velasquez | green | male
59 | Bruce,Giles | blue | male
59 | Bryan,Ernestine | brown | female
59 | Caldwell,Georgia | green | female
59 | Guy,Woods | blue | male
59 | Hatfield,Rena | green | female
59 | Henson,Katharine | blue | female
59 | Huff,Joyce | green | female
59 | Nichols,Deidre | green | female
59 | Odom,Beverley | brown | female
59 | Richardson,Gabriela | green | female
59 | Richmond,Glenn | green | male
59 | Rivers,Lynn | brown | female
59 | Santana,Cherie | blue | female
59 | Singleton,Brown | brown | male
59 | Suarez,Juliette | brown | female
59 | Tyson,Paige | brown | female
59 | Wagner,Phyllis | blue | female
59 | Walter,Guy | blue | male
58 | Acosta,Lane | blue | male
58 | Aguilar,Carver | blue | male
58 | Anderson,Sophia | brown | female
58 | Brennan,Kaye | blue | female
58 | Buchanan,Conrad | brown | male
58 | Cote,Dolores | green | female
58 | Dorsey,Bauer | blue | male
58 | Griffith,Bridges | blue | male
58 | Guthrie,Bonita | brown | female
58 | Howard,Polly | green | female
58 | Lopez,Dawn | blue | female
58 | Mccullough,Maryanne | brown | female
58 | Mcdaniel,Virgie | green | female
58 | Medina,Latisha | brown | female
58 | Mendoza,Hammond | blue | male
58 | Pollard,Whitfield | green | male
58 | Santos,Milagros | green | female
58 | Sims,Harris | blue | male
57 | Alvarado,Ellison | brown | male
57 | Chapman,Sanders | blue | male
57 | Clements,Marina | brown | female
57 | Dudley,Callie | blue | female
57 | Dudley,Lupe | brown | female
57 | Francis,Jerry | blue | female
57 | Gates,Cheryl | brown | female
57 | Hayden,Bullock | brown | male
57 | Lawson,Ellen | blue | female
57 | Mcgee,Cameron | blue | male
57 | Mercado,Isabel | brown | female
57 | Merritt,Consuelo | green | female
57 | Moon,Stacey | blue | female
57 | Nicholson,Kane | blue | male
57 | Salazar,Lopez | green | male
57 | Scott,Benjamin | blue | male
57 | Slater,Graves | blue | male
57 | Smith,Strickland | blue | male
57 | Solomon,Riley | brown | male
57 | Stevenson,Juliana | green | female
57 | Tillman,Maxwell | blue | male
56 | Battle,Finch | green | male
56 | Beach,Heidi | blue | female
56 | Dillard,Erin | blue | female
56 | Gardner,Pugh | green | male
56 | Garrett,John | brown | female
56 | Garza,Elma | brown | female
56 | Hale,Tia | blue | female
56 | Manning,Hill | blue | male
56 | Mccarthy,Dorothy | brown | female
56 | Michael,Elinor | green | female
56 | Parsons,Megan | blue | female
56 | Poole,Angel | blue | female
56 | Roy,Josefina | brown | female
56 | Ruiz,Dalton | brown | male
56 | Santana,Lesley | brown | female
56 | Sullivan,Maxine | blue | female
56 | Tran,Noble | brown | male
56 | Vinson,Lindsey | green | male
56 | Ward,Jeanie | green | female
56 | Williams,Weeks | blue | male
55 | Becker,Tisha | blue | female
55 | Buchanan,Acevedo | blue | male
55 | Cardenas,Horn | blue | male
55 | Downs,Randall | green | male
55 | Garrison,Sasha | green | female
55 | Hall,Fannie | brown | female
55 | Holloway,May | green | male
55 | Joseph,Franks | blue | male
55 | Mason,Lynda | blue | female
55 | Mitchell,Geneva | brown | female
55 | Morton,Gilda | blue | female
55 | Noel,Mcneil | green | male
55 | Parrish,Isabelle | brown | female
55 | Pruitt,Wiley | green | male
55 | Rose,Montoya | blue | male
55 | Simon,Letha | brown | female
55 | Soto,Gwen | brown | female
55 | Tate,Vazquez | green | male
55 | Taylor,James | blue | male
55 | Webb,Burgess | blue | male
54 | Atkinson,Holly | brown | female
54 | Baxter,Betsy | brown | female
54 | Black,Marlene | blue | female
54 | Browning,Conway | blue | male
54 | Dickerson,Fry | brown | male
54 | Gaines,Janine | blue | female
54 | Gibson,Therese | blue | female
54 | Gutierrez,Howe | green | male
54 | Kirk,Rachael | blue | female
54 | Morton,Schneider | green | male
54 | Odonnell,Ortiz | green | male
54 | Roach,Susanna | blue | female
54 | Salas,Alicia | brown | female
54 | Shaffer,Lott | brown | male
54 | Sims,Jolene | brown | female
54 | Trujillo,Avis | green | female
54 | Whitfield,Roxanne | blue | female
53 | Bates,Landry | blue | male
53 | Bolton,Chaney | brown | male
53 | Buchanan,Josie | blue | female
53 | Burt,Sally | blue | female
53 | Clarke,Vanessa | brown | female
53 | Combs,Jordan | green | male
53 | Drake,Adrian | green | female
53 | Emerson,Vinson | brown | male
53 | Erickson,Holt | brown | male
53 | Garner,Rosanne | blue | female
53 | Gill,Nanette | blue | female
53 | Holt,Madeleine | brown | female
53 | Johnson,Mathis | blue | male
53 | Lamb,Carolina | blue | female
53 | Mclean,Burgess | green | male
53 | Murphy,Yates | brown | male
53 | Rojas,Lee | brown | female
53 | Sosa,Atkinson | green | male
53 | Spears,Goff | brown | male
53 | Stanley,Cecilia | green | female
53 | Wilcox,Sofia | brown | female
52 | Barr,Joanna | brown | female
52 | Cox,Dean | blue | male
52 | Doyle,Barr | brown | male
52 | Gill,Socorro | brown | female
52 | Leonard,Beasley | brown | male
52 | Levine,Bullock | blue | male
52 | Rowland,Frederick | brown | male
52 | Stevens,Marcy | brown | female
52 | Talley,Pate | green | male
52 | Weiss,Georgette | blue | female
51 | Bernard,Mollie | green | female
51 | Boyle,Florine | brown | female
51 | Burgess,Marta | blue | female
51 | Cabrera,Fern | blue | female
51 | Carr,Nielsen | brown | male
51 | Case,Jeanette | green | female
51 | Foreman,Dickson | green | male
51 | Hoffman,Calderon | green | male
51 | Holden,Bethany | brown | female
51 | Howard,Cash | green | male
51 | Jimenez,Peck | blue | male
51 | Leblanc,Lucas | brown | male
51 | Mckee,Lillian | blue | female
51 | Mercado,Salas | brown | male
51 | Mullen,Terra | blue | female
51 | Park,Delores | green | female
51 | Sexton,Tiffany | green | female
50 | Adams,Holder | blue | male
50 | Callahan,Lora | brown | female
50 | Conley,Maritza | blue | female
50 | Conway,Wooten | blue | male
50 | Donaldson,Finley | brown | male
50 | Hopkins,Patti | brown | female
50 | Lyons,Celina | green | female
50 | Mooney,Barker | green | male
50 | Patel,Johnson | blue | male
50 | Patterson,Nichole | brown | female
50 | Wall,Coleen | brown | female
49 | Gutierrez,Jasmine | brown | female
49 | Hoover,Carlene | brown | female
49 | Jackson,Mia | brown | female
49 | Kane,Marcie | blue | female
49 | Tanner,Fischer | brown | male
49 | Vasquez,Delacruz | green | male
49 | Vega,Hawkins | brown | male
49 | Wilkins,Ginger | blue | female
48 | Ayers,Lynch | blue | male
48 | Boyd,Willie | blue | female
48 | Bush,Phoebe | green | female
48 | Chase,Priscilla | green | female
48 | Dawson,Jolene | brown | female
48 | Evans,Claudette | blue | female
48 | Fleming,Edwina | blue | female
48 | Gray,Santiago | green | male
48 | Madden,Schwartz | blue | male
48 | Mendoza,Kari | brown | female
48 | Pace,Torres | brown | male
48 | Reynolds,Hines | green | male
48 | Rowe,Wells | green | male
48 | Small,Pennington | blue | male
48 | Snow,Sykes | blue | male
48 | Stuart,Sears | green | male
48 | Valenzuela,Berry | brown | male
48 | Walter,Sheila | brown | female
48 | Wolfe,Katheryn | green | female
47 | Boone,Kristie | green | female
47 | Bowen,Ferrell | green | male
47 | Burks,Yvette | blue | female
47 | Carroll,Patti | green | female
47 | Ewing,Ines | brown | female
47 | Grant,Hillary | blue | female
47 | Hansen,Garner | brown | male
47 | Howell,Violet | green | female
47 | Kline,Roth | blue | male
47 | May,Ashley | blue | male
47 | Mullins,Rich | blue | male
47 | Park,Shepard | blue | male
47 | Pate,Lori | green | female
47 | Payne,Deidre | brown | female
47 | Peck,Marguerite | green | female
47 | Richards,Schroeder | green | male
47 | Valdez,Sears | blue | male
47 | Walters,Carey | green | male
46 | Ballard,Stuart | blue | male
46 | Britt,Brenda | brown | female
46 | Bullock,Karla | brown | female
46 | Casey,Payne | blue | male
46 | Clarke,Genevieve | blue | female
